id,score
88,3.020061
84,0.6187729
94,0.2190641
78,3.773269
74,0.9733294
72,55.37682
64,1.098498
58,0.4811323
54,0.855872
52,0.505319
104,1.048185
46,0.5331004
44,0.3559667
42,2.455397
34,7.007489
32,0.3612921
24,1002.772
16,43.22647
14,0.8084871
10,0.3520347
96,0.6652843
4,0.4751265
2,0.6662514
90,44.92246
