id,score
86,0.8481348
84,0.2760101
106,0.08695687
74,0.1212358
72,1.128515
70,0.4008707
64,0.2231969
60,0.09259398
52,0.3159321
46,0.1529498
44,0.2033534
42,0.1132641
40,0.285482
36,0.07622723
34,0.623849
32,0.2890019
30,0.08443772
28,0.06283089
26,0.06456595
24,0.1815
20,0.108634
16,0.122426
10,1.751833
8,0.08476395
98,0.08476491
90,0.4761861
