id,score
30,0.8439376
28,0.7133116
26,0.5953281
24,0.5980442
22,0.6331699
20,0.7013457
16,0.6849158
14,2.592814
12,24.36294
10,0.6481743
8,0.7103102
6,0.6284406
4,0.464947
2,22.13781
0,3.179766
